# frequency_THz	|SZmin(2),Zmax(2)|^2
227.2	1.4399999999999996e-130
227.4	1.4399999999999996e-130
227.60000000000002	1.4400000000000002e-130
227.8	1.4400000000000002e-130
228.0	1.4399999999999996e-130
228.125	0.0
228.20000000000002	1.4399999999999996e-130
228.4	1.4399999999999996e-130
228.6	1.4399999999999996e-130
228.8	1.4400000000000002e-130
229.0	1.4400000000000002e-130
229.20000000000002	1.4399999999999996e-130
229.4	1.4399999999999996e-130
229.6	1.4399999999999996e-130
229.8	1.689999999999999e-130
230.0	1.6899999999999996e-130
230.20000000000002	1.6900000000000002e-130
230.4	1.6899999999999996e-130
230.6	1.6899999999999996e-130
230.8	1.6900000000000002e-130
231.0	1.6899999999999996e-130
231.20000000000002	1.6899999999999996e-130
231.25	0.0
231.4	1.6899999999999996e-130
231.6	1.6899999999999996e-130
231.8	1.6899999999999996e-130
232.0	1.6899999999999996e-130
232.20000000000002	1.689999999999999e-130
232.4	1.6899999999999996e-130
232.6	1.6899999999999996e-130
232.8	1.6899999999999996e-130
233.0	1.9599999999999993e-130
233.20000000000002	1.9599999999999993e-130
233.4	1.96e-130
233.6	1.9599999999999993e-130
233.8	1.96e-130
234.0	1.9599999999999993e-130
234.20000000000002	1.9599999999999993e-130
234.375	0.0
234.4	1.9599999999999993e-130
234.6	1.9599999999999993e-130
234.8	1.9599999999999993e-130
235.0	1.9599999999999993e-130
235.20000000000002	1.959999999999999e-130
235.4	1.9599999999999993e-130
235.6	1.9599999999999993e-130
235.8	1.9599999999999993e-130
236.0	2.249999999999999e-130
236.20000000000002	2.249999999999999e-130
236.4	2.249999999999999e-130
236.6	2.249999999999999e-130
236.8	2.249999999999999e-130
237.0	2.249999999999999e-130
237.20000000000002	2.249999999999999e-130
237.4	2.249999999999999e-130
237.5	0.0
237.6	2.249999999999999e-130
237.8	2.25e-130
238.0	2.249999999999999e-130
238.20000000000002	2.249999999999999e-130
238.4	2.249999999999999e-130
238.6	2.25e-130
238.8	2.249999999999999e-130
239.0	2.249999999999999e-130
239.20000000000002	2.559999999999999e-130
239.4	2.559999999999999e-130
239.6	2.559999999999999e-130
239.8	2.559999999999999e-130
240.0	2.5599999999999984e-130
240.20000000000002	2.559999999999999e-130
240.4	2.559999999999999e-130
240.6	2.559999999999999e-130
240.625	0.0
240.8	2.56e-130
241.0	2.559999999999999e-130
241.20000000000002	2.559999999999999e-130
241.4	2.559999999999999e-130
241.6	2.5599999999999984e-130
241.8	2.559999999999999e-130
242.0	2.559999999999999e-130
242.20000000000002	2.889999999999999e-130
242.4	2.889999999999999e-130
242.6	2.889999999999999e-130
242.8	2.8899999999999996e-130
243.0	2.889999999999999e-130
243.20000000000002	2.8900000000000004e-130
243.4	2.8899999999999984e-130
243.6	2.889999999999999e-130
243.75	0.0
243.8	2.889999999999999e-130
244.0	2.8899999999999996e-130
244.20000000000002	2.889999999999999e-130
244.4	2.889999999999999e-130
244.6	2.8899999999999996e-130
244.8	2.889999999999999e-130
245.0	2.8899999999999996e-130
245.20000000000002	2.889999999999999e-130
245.4	3.239999999999999e-130
245.6	3.2399999999999997e-130
245.8	3.239999999999999e-130
246.0	3.239999999999999e-130
246.20000000000002	3.239999999999999e-130
246.4	3.239999999999999e-130
246.6	3.239999999999999e-130
246.8	3.239999999999999e-130
246.875	0.0
247.0	3.239999999999999e-130
247.20000000000002	3.239999999999999e-130
247.4	3.239999999999999e-130
247.6	3.239999999999999e-130
247.8	3.239999999999999e-130
248.0	3.239999999999999e-130
248.20000000000002	3.239999999999999e-130
248.4	3.239999999999999e-130
248.6	3.61e-130
248.8	3.6099999999999986e-130
249.0	3.6099999999999986e-130
249.20000000000002	3.6099999999999986e-130
249.4	3.61e-130
249.6	3.6099999999999986e-130
249.8	3.6099999999999986e-130
250.0	0.0
250.20000000000002	3.6099999999999986e-130
250.4	3.6099999999999986e-130
250.6	3.6099999999999986e-130
250.8	3.6099999999999986e-130
251.0	3.6099999999999986e-130
251.20000000000002	3.61e-130
251.4	3.6099999999999986e-130
251.6	3.6099999999999986e-130
251.8	3.6099999999999986e-130
252.0	3.6099999999999986e-130
252.20000000000002	4.000000000000001e-130
252.4	3.9999999999999995e-130
252.6	3.999999999999998e-130
252.8	3.9999999999999995e-130
253.0	3.9999999999999995e-130
253.20000000000002	4.000000000000001e-130
253.4	3.9999999999999995e-130
253.60000000000002	3.9999999999999995e-130
253.8	3.999999999999998e-130
254.0	3.9999999999999995e-130
254.2	0.0
254.4	3.9999999999999995e-130
254.60000000000002	3.9999999999999995e-130
254.8	3.9999999999999995e-130
255.0	3.999999999999998e-130
255.20000000000002	3.9999999999999995e-130
255.4	4.410000000000002e-130
255.60000000000002	4.41e-130
255.8	4.409999999999998e-130
256.0	4.41e-130
256.20000000000005	4.409999999999998e-130
256.3	0.0
256.4	4.409999999999998e-130
256.6	4.41e-130
256.8	4.4099999999999966e-130
257.0	4.409999999999998e-130
257.20000000000005	4.410000000000002e-130
257.4	4.840000000000001e-130
257.6	4.840000000000001e-130
257.8	4.8400000000000024e-130
258.0	4.840000000000001e-130
258.20000000000005	4.839999999999995e-130
258.4	0.0
258.6	4.839999999999999e-130
258.8	4.839999999999999e-130
259.0	4.8400000000000024e-130
259.20000000000005	4.840000000000001e-130
259.4	4.839999999999999e-130
259.6	5.2899999999999996e-130
259.8	5.289999999999996e-130
260.0	5.289999999999998e-130
260.20000000000005	5.289999999999998e-130
